"Year","Metabolite","Site ID","Country","City","Wednesday","Thursday","Friday","Saturday","Sunday","Monday","Tuesday","Weekday mean","Weekend mean","Daily mean"
2024,"MDMA","AT001","AT","Graz",8.82,12.87,12.45,28.11,26.8,10.5,9.13,10.27,19.47,15.53
2024,"MDMA","AT002","AT","Hall-Wattens",3.39,1.51,2.98,22.16,11.03,6.75,1.53,2.14,10.73,7.05
2024,"MDMA","AT004","AT","Innsbruck",12.04,13.68,12.59,38.65,40.07,27.55,14.35,13.36,29.72,22.71
2024,"MDMA","AT005","AT","Kapfenberg",9.68,4.4,4.39,9.29,10.19,6.17,10.42,8.17,7.51,7.79
2024,"MDMA","AT006","AT","Klagenfurt",5.49,3.91,12.63,12.83,13.44,9.7,8.49,5.97,12.15,9.5
2024,"MDMA","AT008","AT","Knittelfeld",1.46,4.26,6.07,11.42,6.21,5.46,1.04,2.25,7.29,5.13
2024,"MDMA","AT010","AT","Kufstein",10.15,4.37,5.08,8.67,15.84,4.95,12.52,9.02,8.64,8.8
2024,"MDMA","AT013","AT","Purgstall",6.73,6.51,7.03,14.45,8.26,71.58,50.92,21.39,25.33,23.64
2024,"MDMA","AT011","AT","Region Millstättersee",7.4,5.59,6.36,3.96,6.64,4.77,6.53,6.5,5.43,5.89
2024,"MDMA","AT014","AT","Ried im Innkreis",4.08,2.31,3.98,11.28,11.69,6.88,3.91,3.43,8.46,6.3
2024,"MDMA","AT015","AT","Salzburg",7.9,7.13,6.09,12.13,12.97,8.65,7.1,7.38,9.96,8.85
2024,"MDMA","AT016","AT","Steyr",3.66,2.7,4.71,20.69,30.61,14.89,7.84,4.73,17.73,12.16
2024,"MDMA","AT017","AT","Strass im Zillertal",4.98,7.27,9.8,8.67,11.91,10.99,14.57,8.94,10.34,9.74
2024,"MDMA","AT003","AT","Wasserverband Hofsteig",5.99,2.9,6.41,16.29,18.17,10.27,7.07,5.32,12.79,9.59
2024,"MDMA","AT018","AT","Wien",18.4,10.83,14.47,35.78,32.84,15.59,19.4,16.21,24.67,21.05
2024,"MDMA","AT019","AT","Wiener Neustadt",7.3,5.84,7.11,6.83,23.07,20.92,11.92,8.35,14.48,11.86
2024,"MDMA","AT020","AT","Wildon",3.24,2.61,3.18,3.71,8.77,11.27,9.38,5.08,6.73,6.02
2024,"MDMA","AU002","AU","Australia (59 sites)",25.81,16.23,10.89,13.22,55.96,96.39,46.44,29.49,44.12,37.85
2024,"MDMA","BE002","BE","Antwerp Zuid",90.09,209.46,243.58,147.81,74.71,137.62,78.93,126.16,150.93,140.31
2024,"MDMA","BE005","BE","Brussels",31.65,30.23,30.84,110.28,172.71,105.99,57.07,39.65,104.95,76.97
2024,"MDMA","BR005","BR","Belo Horizonte (2)",45.78,17.79,63.04,25.41,24.77,44.83,22.16,25,39.51,33.95
2024,"MDMA","BR007","BR","Brasilia (I-VII)",0.5,1.66,1.18,4.61,7.36,5.97,3.28,1.81,4.78,3.51
2024,"MDMA","BR010","BR","Curitiba (2)",5.36,4.86,8.13,9.74,10.74,10.63,15.99,8.74,9.81,9.35
2024,"MDMA","BR011","BR","Fortaleza",4.64,5.48,4.44,5.44,5.81,4.58,4.09,4.74,5.07,4.93
2024,"MDMA","BR013","BR","Goiânia",8.2,7.2,9.07,7.42,8.73,13.21,26.42,13.94,9.61,11.47
2024,"MDMA","BR017","BR","Natal",4.24,3.55,0.7,3.72,4.11,4.52,7.37,5.05,3.26,4.03
2024,"MDMA","BR019","BR","Niterói (2)",6.51,5.56,8.65,9.7,9.57,9.15,9.68,7,9.27,8.35
2024,"MDMA","BR023","BR","Porto Alegre (2 - 2024)",11.18,7.09,6.2,9.21,20.68,9.69,9.38,9.37,11.45,10.59
2024,"MDMA","BR024","BR","Recife",2.01,1.36,1.89,1.13,2.06,1.41,2.74,2.04,1.62,1.8
2024,"MDMA","BR027","BR","Serraria",12.55,7.09,6.35,9.36,23.93,10.44,10.49,10.04,12.52,11.46
2024,"MDMA","BR030","BR","São Luis",1.06,0.94,4.05,0.89,2.72,1.95,1.57,1.19,2.4,1.88
2024,"MDMA","BR032","BR","São Paulo (I-V)",8,7.4,2.13,5.8,10.88,10.94,13.04,9.48,7.44,8.31
2024,"MDMA","CA001","CA","Kitchener",9.17,8.83,6.03,7.53,11.58,21.36,19.85,12.61,11.62,12.05
2024,"MDMA","CA002","CA","Montreal",8.14,8.99,6.96,23.15,36.07,28.34,29.38,15.5,23.63,20.15
2024,"MDMA","CH001","CH","Basel",11.56,7.8,11.44,21.15,28.05,13.83,9.87,9.74,18.62,14.81
2024,"MDMA","CH002","CH","Berne",53.18,10.69,30.66,29.61,31.5,16.58,9.65,24.5,27.09,25.98
