"country","city","metabolite","value_current","value_previous","year_current","year_previous","change_percent","change_percent2","SiteID","location","latitude","longitude","population","institution","website"
"AT","Graz","MDMA",15.53,23.73,2024,2023,-34.5554150863885,"decrease","AT001","ARA Graz","47.070713","15.439504",425000,"Medical University Innsbruck","N/A"
"AT","Hall-Wattens","MDMA",7.05,7.61,2024,2023,-7.3587385019711,"stable","AT002","Abwasserverband Hall in Tirol-Fritzens","47.29168","11.59284",76000,"Medical University Innsbruck","N/A"
"AT","Innsbruck","MDMA",22.71,19.57,2024,2023,16.0449667858968,"increase","AT004","ARA Innsbruck","47.269212","11.404102",249000,"Medical University Innsbruck","N/A"
"AT","Kapfenberg","MDMA",7.79,5.77,2024,2023,35.0086655112652,"increase","AT005","Kläranlage Kapfenberg","47.443562","15.2901",36000,"Medical University Innsbruck","N/A"
"AT","Klagenfurt","MDMA",9.5,7.09,2024,2023,33.9915373765867,"increase","AT006","Wasserverband Wörthersee Ost","46.635700","14.311817",232000,"Medical University Innsbruck","N/A"
"AT","Knittelfeld","MDMA",5.13,6.49,2024,2023,-20.9553158705701,"decrease","AT008","AWV Knittelfeld","47.215950","14.82719",37000,"Medical University Innsbruck","N/A"
"AT","Kufstein","MDMA",8.8,8.59,2024,2023,2.44470314318977,"stable","AT010","Abwasserverband Kufstein","47.582958","12.17077",45000,"Medical University Innsbruck","N/A"
"AT","Purgstall","MDMA",23.64,13.22,2024,2023,78.8199697428139,"increase","AT013","GAV Erlauftal","48.057812","15.13545",7600,"Medical University Innsbruck","N/A"
"AT","Region Millstättersee","MDMA",5.89,3.55,2024,2023,65.9154929577465,"increase","AT011","Wasserverband Millstaettersee","46.81924","13.52146",93000,"Medical University Innsbruck","N/A"
"AT","Ried im Innkreis","MDMA",6.3,,2024,,,"no previous data","AT014","Reinhaltungsverband Ried im Innkreis","48.2254548","13.478626",28000,"Medical University Innsbruck","N/A"
"AT","Salzburg","MDMA",8.85,6.9,2024,2023,28.2608695652174,"increase","AT015","ARA Siggerwiesen","47.811195","13.033229",415000,"Medical University Innsbruck","N/A"
"AT","Steyr","MDMA",12.16,15.78,2024,2023,-22.9404309252218,"decrease","AT016","Reinhaltungsverband Steyr und Umgebung","48.050090","14.41827",82000,"Medical University Innsbruck","N/A"
"AT","Strass im Zillertal","MDMA",9.74,15.54,2024,2023,-37.3230373230373,"decrease","AT017","AIZ Abwasserverband","47.395748","11.82211",130000,"Medical University Innsbruck","N/A"
"AT","Wasserverband Hofsteig","MDMA",9.59,5.6,2024,2023,71.25,"increase","AT003","ARA Hofsteig","47.4852","9.6762",105000,"Medical University Innsbruck","N/A"
"AT","Wien","MDMA",21.05,18.67,2024,2023,12.747723620782,"increase","AT018","Hauptkläranlage Wien","48.210033","16.363449",3166000,"Medical University Innsbruck","N/A"
"AT","Wiener Neustadt","MDMA",11.86,10.63,2024,2023,11.5710253998118,"increase","AT019","AWV Wr. Neustadt-Süd","47.802790","16.23318",140000,"Medical University Innsbruck","N/A"
"AT","Wildon","MDMA",6.02,10.53,2024,2023,-42.8300094966762,"decrease","AT020","Abwasserverband Grazerfeld","46.885708","15.518532",96000,"Medical University Innsbruck","N/A"
"BE","Antwerp Zuid","MDMA",140.31,318.23,2024,2023,-55.9092480281557,"decrease","BE002","Antwerpen-Zuid","51.2","4.39",143240,"Toxicological Centre","N/A"
"BE","Brussels","MDMA",76.97,30.02,2024,2023,156.395736175883,"increase","BE005","Brussel-Noord","50.86","4.36",1030306,"Toxicological Centre","N/A"
"CY","Agia Napa","MDMA",4.53,4.12,2024,2023,9.95145631067961,"stable","CY001","Sewage treatment plant of Agia Napa-Paralimni","34.99075444704176","33.9999814169353",55382,"Nireas","N/A"
"CY","Larnaca","MDMA",1.4,1.01,2024,2023,38.6138613861386,"increase","CY002","Sewage Bioard of Larnaca","34.915164353041064","33.6361988334665",86577,"Nireas","N/A"
"CY","Limassol","MDMA",6.81,3.22,2024,2023,111.490683229814,"increase","CY003","Sewerage Board of Limassol-Amathus (SBLA)","34.69","33.02",213812,"Nireas","N/A"
"CY","Nicosia (2)","MDMA",1.62,2.99,2024,2023,-45.819397993311,"decrease","CY005","Sewage treatment plant of Pano Deftera (Anthoupoli)-Sewerage Board of Nicosia; Sewage treatment plant of Vathia Gonia-Sewerage Board of Nicosia","35.17","33.4",111510,"N/A","N/A"
"CY","Paphos","MDMA",1.69,5.29,2024,2023,-68.0529300567108,"decrease","CY007","Sewage Borad of Pafos","34.775853627551825","32.4215949998929",107501,"Nireas","N/A"
"CZ","Brno","MDMA",16.12,15.51,2024,2023,3.93294648613798,"stable","CZ001","Waterworks and sewage of city Brno ","49.19506","16.606837",445000,"FFPW USB","N/A"
"CZ","České Budějovice","MDMA",14.72,6.97,2024,2023,111.190817790531,"increase","CZ002","UCOV CB","48.96","14.46",110000,"FFPW USB","N/A"
"CZ","Karlovy Vary","MDMA",14.32,12.8,2024,2023,11.875,"increase","CZ003","ČOV Karloy Vary","50.23204","12.87099",67544,"T.G.Masaryk Water Research Institute","N/A"
"CZ","Ostrava","MDMA",26.41,9.71,2024,2023,171.987641606591,"increase","CZ004","ÚČOV Ostrava","49.833864","18.281034",250000,"T.G.Masaryk Water Research Institute","N/A"
"CZ","Plzeň","MDMA",23.2,18.69,2024,2023,24.1305510968432,"increase","CZ005","ČOV Plzeň","49.73945","13.37329",178677,"T.G.Masaryk Water Research Institute","N/A"
"CZ","Prague (2)","MDMA",54.74,,2024,,,"no previous data","CZ006","ÚČOV Praha","50.11584348","14.39671894",1212000,"South Bohemian Research Center of Aquaculture and Biodiversity of Hydrocenoses, University of South Bohemia in Ceske Budejovice","www.frov.jcu.cz/en/"
"CZ","Ústí nad Labem","MDMA",14.2,,2024,,,"no previous data","CZ009","ČOV Ústí - Neštěmice","50.667583","14.10462173",92572,"T.G.Masaryk Water Research Institute","N/A"
"DE","Chemnitz","MDMA",11.71,12.84,2024,2023,-8.80062305295949,"stable","DE008","Chemnitz","50.827845","12.92137",239402,"Clinical Pharmacology TU Dresden","N/A"
"DE","Dortmund","MDMA",37.07,77.18,2024,2023,-51.9694221300855,"decrease","DE009","Deusen","51.52","7.46",404300,"Clinical Pharmacology TU Dresden","N/A"
"DE","Dresden","MDMA",17.11,12.43,2024,2023,37.6508447304907,"increase","DE010","Dresden-Kaditz","51.05089","13.73832",671806,"Clinical Pharmacology TU Dresden","N/A"
"DE","Erfurt","MDMA",28.6,15.24,2024,2023,87.6640419947507,"increase","DE012","Erfurt","50.984768","11.02988",215323,"Clinical Pharmacology TU Dresden","N/A"
"DE","Hamburg N","MDMA",27.76,,2024,,,"no previous data","DE018","Nord","53.551085","9.993682",630000,"IFT Institut für Therapieforschung","N/A"
"DE","Hannover (2)","MDMA",26.07,,2024,,,"no previous data","DE020","Herrenhausen; Gummerwald","52.375892","9.73201",793400,"IFT Institut für Therapieforschung","www.ift.de/index.php"
"DE","Magdeburg","MDMA",21.33,20.04,2024,2023,6.43712574850299,"stable","DE023","Magdeburg","52.120533","11.627624",281150,"Clinical Pharmacology TU Dresden","N/A"
"DE","Munich G","MDMA",39.37,16.1,2024,2023,144.534161490683,"increase","DE026","Gut Grosslappen","48.14","11.58",1171100,"Clinical Pharmacology TU Dresden","N/A"
"DE","Nuremberg","MDMA",15.44,25.87,2024,2023,-40.3169694626981,"decrease","DE028","Nürnberg","49.452102","11.076665",451472,"Clinical Pharmacology TU Dresden","N/A"
"DE","Saarbrücken (2)","MDMA",28.35,26,2024,2023,9.03846153846154,"stable","DE030","Brebach; Burbach","49.240157","6.996933",203643,"IFT Institut für Therapieforschung","www.ift.de/index.php"
"DE","Stuttgart","MDMA",22.84,,2024,,,"no previous data","DE033","Stuttgart","48.775846","9.182932",609000,"IFT Institut für Therapieforschung","N/A"
"DK","Aalborg","MDMA",18.38,,2024,,,"no previous data","DK001","Aalborg renseanlæg vest","57.04855704","9.865213642",143141,"Department of Forensic Medicine, Section for Forensic Chemistry, Aarhus University, Denmark","N/A"
"DK","Aarhus","MDMA",12.33,17.7,2024,2023,-30.3389830508475,"decrease","DK002","Marselisborg","56.1631","10.20256",128978,"Department of Forensic Medicine, Section for Forensic Chemistry, Aarhus University, Denmark","N/A"
"DK","Copenhagen","MDMA",37,,2024,,,"no previous data","DK003","Lynetten","55.69","12.62",656470,"Department of Forensic Medicine, Section for Forensic Chemistry, Aarhus University, Denmark","N/A"
"DK","Esbjerg","MDMA",6.69,,2024,,,"no previous data","DK004","Esbjerg renseanlæg vest","55.48812791","8.430608708",62017,"Department of Forensic Medicine, Section for Forensic Chemistry, Aarhus University, Denmark","N/A"
"DK","Næstved","MDMA",7.12,,2024,,,"no previous data","DK005","Næstved centralrenseanlæg","55.2229935","11.74855352",69863,"Department of Forensic Medicine, Section for Forensic Chemistry, Aarhus University, Denmark","N/A"
"DK","Odense","MDMA",10.03,,2024,,,"no previous data","DK006","Ejby Mølle","55.40132682133402","10.3875142603132",134364,"Department of Forensic Medicine, Section for Forensic Chemistry, Aarhus University, Denmark","N/A"
"ES","Barcelona","MDMA",47.17,54.82,2024,2023,-13.9547610361182,"decrease","ES001","Baix Llobregat","41.43","1.97",1206813,"IDAEA-CSIC","N/A"
"ES","Castellon","MDMA",51.94,8.13,2024,2023,538.868388683887,"increase","ES002","EDAR Castellón","40.23","-0.12",182103,"IUPA","N/A"
"ES","Granada","MDMA",34.34,78.91,2024,2023,-56.482068178938,"decrease","ES003","Granada","37.17752","-3.59539",233821,"UGR","N/A"
"ES","Lleida","MDMA",42.47,11.2,2024,2023,279.196428571429,"increase","ES004","EDAR Lleida","41.617592","0.620015",149440,"IDAEA-CSIC","N/A"
"ES","Santiago","MDMA",16.84,16.75,2024,2023,0.53731343283582,"stable","ES007","Silvouta","42.88","-8.54",136500,"IAQBUS","N/A"
"ES","Tarragona","MDMA",32.14,,2024,,,"no previous data","ES008","Tarragona","41.11901451164164","1.24570728603803",150013,"URV","N/A"
"FI","Espoo","MDMA",26.91,18.14,2024,2023,48.3461962513782,"increase","FI001","Blominmäki","60.16","24.71",390000,"THL/Forensic Toxicology","N/A"
"FI","Helsinki","MDMA",35.19,31.39,2024,2023,12.1057661675693,"increase","FI002","Viikinmäki","60.23","24.99",9e+05,"THL/Forensic Toxicology","N/A"
"FI","Huittinen","MDMA",2.75,,2024,,,"no previous data","FI003","Huittinen","61.17655889","22.69824858",37000,"THL/Forensic Toxicology","N/A"
"FI","Hämeenlinna","MDMA",10.83,,2024,,,"no previous data","FI004","Paroinen","60.99601","24.46423",67000,"THL/Forensic Toxicology","N/A"
"FI","Joensuu","MDMA",29.42,,2024,,,"no previous data","FI005","Kuhasalo","62.58","29.73",84300,"THL/Forensic Toxicology","N/A"
