"SiteID","Country","City","Location","Latitude","Longitude","Population","Institution","Website"
"AT001","AT","Graz","ARA Graz","47.070713","15.439504",425000,"Medical University Innsbruck","N/A"
"AT002","AT","Hall-Wattens","Abwasserverband Hall in Tirol-Fritzens","47.29168","11.59284",76000,"Medical University Innsbruck","N/A"
"AT003","AT","Wasserverband Hofsteig","ARA Hofsteig","47.4852","9.6762",105000,"Medical University Innsbruck","N/A"
"AT004","AT","Innsbruck","ARA Innsbruck","47.269212","11.404102",249000,"Medical University Innsbruck","N/A"
"AT005","AT","Kapfenberg","Kläranlage Kapfenberg","47.443562","15.2901",36000,"Medical University Innsbruck","N/A"
"AT006","AT","Klagenfurt","Wasserverband Wörthersee Ost","46.635700","14.311817",232000,"Medical University Innsbruck","N/A"
"AT007","AT","Klosterneuburg","Klosterneuburg","48.309866","16.323772",30000,"Insitute for Water quality, Resource and Waste management","http//iwr.tuwien.ac.at/water/"
"AT008","AT","Knittelfeld","AWV Knittelfeld","47.215950","14.82719",37000,"Medical University Innsbruck","N/A"
"AT009","AT","Korneuburg","Korneuburg","48.34472","16.33149",38121,"Medical University Innsbruck","N/A"
"AT010","AT","Kufstein","Abwasserverband Kufstein","47.582958","12.17077",45000,"Medical University Innsbruck","N/A"
"AT011","AT","Region Millstättersee","Wasserverband Millstaettersee","46.81924","13.52146",93000,"Medical University Innsbruck","N/A"
"AT012","AT","Mürzzuschlag","Mürzzuschlag","47.566639","15.6182",30200,"N/A","https://biomassspec.gmi.tirol/"
"AT013","AT","Purgstall","GAV Erlauftal","48.057812","15.13545",7600,"Medical University Innsbruck","N/A"
"AT014","AT","Ried im Innkreis","Reinhaltungsverband Ried im Innkreis","48.2254548","13.478626",28000,"Medical University Innsbruck","N/A"
"AT015","AT","Salzburg","ARA Siggerwiesen","47.811195","13.033229",415000,"Medical University Innsbruck","N/A"
"AT016","AT","Steyr","Reinhaltungsverband Steyr und Umgebung","48.050090","14.41827",82000,"Medical University Innsbruck","N/A"
"AT017","AT","Strass im Zillertal","AIZ Abwasserverband","47.395748","11.82211",130000,"Medical University Innsbruck","N/A"
"AT018","AT","Wien","Hauptkläranlage Wien","48.210033","16.363449",3166000,"Medical University Innsbruck","N/A"
"AT019","AT","Wiener Neustadt","AWV Wr. Neustadt-Süd","47.802790","16.23318",140000,"Medical University Innsbruck","N/A"
"AT020","AT","Wildon","Abwasserverband Grazerfeld","46.885708","15.518532",96000,"Medical University Innsbruck","N/A"
"AU001","AU","Australia (55 sites)","Sum of 55 WWTPs","-25.21036","135.34996",14095000,"University of Queensland","N/A"
"AU002","AU","Australia (59 sites)","Sum of 59 WWTPs","-25.21036","135.34996",14166000,"QAEHS","N/A"
"BA001","BA","Sarajevo","Sarajevo","43.87","18.29",130000,"Hydro-Engineering Institute Sarajevo","http//www.heis.com.ba/"
"BE001","BE","Antwerp Deurne","Antwerp D.","51.22","4.46",213876,"Toxicological Center, University of Antwerp","www.uantwerpen.be/en/rg/tox/"
"BE002","BE","Antwerp Zuid","Antwerpen-Zuid","51.2","4.39",143240,"Toxicological Centre","N/A"
"BE003","BE","Boom","Boom","51.08608","4.36633",30600,"Toxicological Center, University of Antwerp","www.uantwerpen.be/en/rg/tox/"
"BE004","BE","Brugge","Brugge","51.20942","3.2252",3e+05,"Toxicological Center, University of Antwerp","www.uantwerpen.be/en/rg/tox/"
"BE005","BE","Brussels","Brussel-Noord","50.86","4.36",1030306,"Toxicological Centre","N/A"
"BE006","BE","Geraardsbergen","Geraardsbergen","50.77","3.88",29047,"Toxicological Center, University of Antwerp","www.uantwerpen.be/en/rg/tox/"
"BE007","BE","Koksijde","Koksijde","51.1","2.7",78441,"Toxicological Center, University of Antwerp","www.uantwerpen.be/en/rg/tox/"
"BE008","BE","Merchtem","Merchtem","50.95842","4.23244",16200,"Toxicological Center, University of Antwerp","www.uantwerpen.be/en/rg/tox/"
"BE009","BE","Ninove","Ninove","50.85","4.03",36179,"Toxicological Center, University of Antwerp","www.uantwerpen.be/en/rg/tox/"
"BE010","BE","Oostende","Oostende","51.21543","2.928656",159000,"Toxicological Center, University of Antwerp","www.uantwerpen.be/en/rg/tox/"
"BE011","BE","Ruisbroek (Puurs)","Ruisbroek","50.79035","4.29862",36000,"Toxicological Center, University of Antwerp","www.uantwerpen.be/en/rg/tox/"
"BR005","BR","Belo Horizonte (2)","ETE Arruda; ETE Onça","-19.92562","-43.93762",2245267,"N/A","N/A"
"BR007","BR","Brasilia (I-VII)","ETE Brasília Sul; ETE Brasília Norte; ETE Melchior; ETE Gama; ETE Palanltina; ETE Riacho Fundo; ETE São Sebastião","-15.80567","-47.90921",2483677,"N/A","N/A"
"BR010","BR","Curitiba (2)","ETE Atuba; ETE Belém","-25.43861","-49.25411",1894000,"N/A","N/A"
"BR011","BR","Fortaleza","ETE EPC","-3.71560445","-38.53717498",1800000,"AQQUA","N/A"
"BR013","BR","Goiânia","ETE Hélio S. Brito","-16.62767685","-49.26278589",859238,"AQQUA","N/A"
"BR015","BR","João Pessoa","ETE Mangabeira","-7.188130629","-34.83713855",97200,"AQQUA","N/A"
"BR017","BR","Natal","ETE Baldo","-5.78555","-35.19824",298149,"AQQUA","N/A"
"BR019","BR","Niterói (2)","ETE Icaraí; ETE Toc-Toc","-22.88575764","-43.12609884",380433,"N/A","N/A"
"BR023","BR","Porto Alegre (2 - 2024)","ETE Navegantes; ETE Serraria","-30.03508","-51.21767",880000,"N/A","N/A"
"BR024","BR","Recife","ETE Cabanga","-8.05756","-34.87725",260000,"AQQUA","N/A"
"BR026","BR","Sarandi","ETE Sarandi","-29.97109458","-51.13750272",70000,"AQQUA","N/A"
"BR027","BR","Serraria","ETE Serraria","-30.16618358","-51.21672864",7e+05,"AQQUA","N/A"
"BR029","BR","São Carlos","ETE Monjolinho","-22.01201","-47.89314",254822,"AQQUA","N/A"
"BR030","BR","São Luis","ETE Vinhais","-2.524851182","-44.26665106",350000,"AQQUA","N/A"
"BR032","BR","São Paulo (I-V)","ETE Suzano; ETE São Miguel; ETE ABC; ETE Barueri; ETE Novo Mundo","-23.55156","-46.65472",11720559,"N/A","N/A"
"CA001","CA","Kitchener","Kitchener Waste Water Treatment Plant","43.39958519","-80.42359899",256153,"Servos Lab","N/A"
"CA002","CA","Montreal","J.-R. Marcotte","45.67099142","-73.5241395",2124805,"Prof. Viviane Yargeau","N/A"
"CA003","CA","Quebec City","Station Est","46.81520847","-71.22402596",3e+05,"Centre de toxicologie du Québec","N/A"
"CH001","CH","Basel","ARA Basel","47.56","7.59",273075,"Ecole des Sciences Criminelles, University of Lausanne","N/A"
"CH002","CH","Berne","ARA Bern","46.83","7.62",224557,"Ecole des Sciences Criminelles, University of Lausanne","N/A"
"CH003","CH","Geneva","STEP SIG","46.2","6.17",454433,"Ecole des Sciences Criminelles, University of Lausanne","N/A"
"CH004","CH","Lausanne","Lausanne","46.52","6.63",220000,"Faculté de droit, des sciences criminelles et d'administration publique - Lausanne, and Eawag - Urban Water Management","N/A"
"CH005","CH","Lugano","Lugano","46.02","8.91",103561,"Faculté de droit, des sciences criminelles et d'administration publique - Lausanne, and Eawag - Urban Water Management","N/A"
"CH007","CH","St. Gallen Hofen","St.Gallen H","47.42","9.38",37876,"Faculté de droit, des sciences criminelles et d'administration publique - Lausanne, and Eawag - Urban Water Management","N/A"
"CH008","CH","Zurich","Werdhölzli","47.37","8.51",471275,"Ecole des Sciences Criminelles, University of Lausanne","N/A"
"CL001","CL","Concepción","Planta de Tratamiento de Aguas Residuales Biobío","-36.81907","-73.04886",584890,"Centro de Vigilancia de Aguas Residuales, Universidad Católica de la Santísima Concepción","N/A"
"CL002","CL","Lebu","Planta de Tratamiento de Aguas Residuales Lebu","-37.60745","-73.65156",27100,"Centro de Vigilancia de Aguas Residuales, Universidad Católica de la Santísima Concepción","N/A"
"CL003","CL","Los Angeles","Planta de Tratamiento de Aguas Residuales Los Angeles","-37.46321","-72.36468",218515,"Centro de Vigilancia de Aguas Residuales, Universidad Católica de la Santísima Concepción","N/A"
"CY001","CY","Agia Napa","Sewage treatment plant of Agia Napa-Paralimni","34.99075444704176","33.9999814169353",55382,"Nireas","N/A"
